City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
325,Ourem,PT,39.6417,-8.5919,64.45,90,100,5.93
326,Akniste,LV,56.1615,25.7478,40.64,84,53,4.9
327,Aasiaat,GL,68.7098,-52.8699,17.91,76,100,17.13
328,Cartagena,CO,10.3997,-75.5144,85.62,79,75,13.8
329,Rey Bouba,CM,8.6724,14.1786,74.91,91,100,5.82
330,Tacoronte,ES,28.4769,-16.4102,69.98,67,20,6.91
331,Aleksandrov Gay,RU,50.147,48.5704,57.16,64,100,0.83
332,Kananga,CD,-5.8958,22.4178,70.11,89,100,2.48
333,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,75,32,10.56
334,Aguimes,ES,27.9054,-15.4461,70.66,78,0,17.27
335,Waziers,FR,50.3872,3.1149,64.08,82,40,5.75
336,Urdoma,RU,61.7533,48.5442,31.64,76,8,9.66
337,Lyuban,BY,52.7985,28.0048,39.6,80,59,4.97
338,Orsha,BY,54.5153,30.4053,39.88,86,100,6.11
339,George Town,MY,5.4112,100.3354,82.89,82,20,0.0
340,Necochea,AR,-38.5473,-58.7368,61.12,79,95,17.58
341,Kulunda,RU,52.566,78.9385,48.99,80,100,17.22
342,Ovre Ardal,NO,61.3167,7.8,31.08,74,0,6.17
343,Awjilah,LY,29.1081,21.2869,72.12,47,46,6.33
344,Stevens Point,US,44.5236,-89.5746,56.79,52,0,5.75
345,Tikhvin,RU,59.6451,33.5294,39.22,89,100,4.38
346,Sumbawanga,TZ,-7.9667,31.6167,65.8,46,77,2.15
347,Ancud,CL,-41.8697,-73.8203,53.22,75,97,9.6
348,Hartland,US,43.105,-88.342,57.38,34,0,5.75
349,Hornepayne,CA,49.2138,-84.7705,38.01,74,100,9.82
350,Shar,KZ,49.5886,81.0453,52.23,52,100,17.0
351,Ler,SS,8.3018,30.1418,76.6,74,54,3.24
352,Clonakilty,IE,51.6231,-8.8706,57.09,88,99,22.7
353,Leshukonskoye,RU,64.8989,45.7622,32.22,78,100,12.39
